City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Jawa Barat,2022-09-11,205,1025,1.6,80.0,79.6,26.5,-0.00041493775933610223,733.0
Banten,2022-09-11,180,36,2.1,82.0,80.1,26.7,0.0027385892116182555,64.37109375
Sulawesi Tengah,2022-09-11,190,38,3.0,85.0,79.9,26.6,-0.000373443983402487,1080.984375
Kalimantan Tengah,2022-09-11,16767,4683,0.0,79.0,82.7,28.1,0.004232365145228216,72.46484375
Jawa Timur,2022-09-11,1490,298,1.6,80.0,79.6,26.5,-0.003900414937759333,1072.65625
Jawa Barat,2022-09-11,290,58,1.6,80.0,79.6,26.5,-0.00041493775933610223,733.0
Banten,2022-09-10,3715,1151,3.2,87.0,78.1,25.6,0.003941908713692951,64.37109375
Kalimantan Selatan,2022-09-09,3994,1358,2.8,83.0,80.8,27.1,0.009502074688796679,567.015625
Kalimantan Barat,2022-09-08,325,65,1.3,89.0,78.8,26.0,0.0013278008298755167,114.5390625
Sumatera Selatan,2022-09-07,1485,297,2.1,82.0,81.5,27.5,-0.004771784232365148,18.734375
Sulawesi Tengah,2022-09-06,5080,1281,4.0,88.0,78.4,25.8,0.0014937759336099566,1080.984375
Sulawesi Tengah,2022-09-06,662,182,4.0,88.0,78.4,25.8,0.0014937759336099566,1080.984375
Jawa Barat,2022-09-06,670,134,0.5,77.0,78.5,25.8,0.006846473029045652,733.0
Sulawesi Tengah,2022-09-05,1500,300,2.5,93.0,77.0,25.0,0.0028630705394190833,1080.984375
Kalimantan Selatan,2022-09-05,1478,455,17.0,94.0,74.9,23.8,0.006846473029045643,567.015625
Gorontalo,2022-09-05,159,40,2.5,93.0,77.0,25.0,0.003734439834024896,55.55078125
Kalimantan Tengah,2022-09-05,8665,1733,8.9,99.0,72.4,22.4,0.006846473029045643,72.46484375
Kalimantan Tengah,2022-09-05,2126,636,8.9,99.0,72.4,22.4,0.006846473029045643,72.46484375
Kalimantan Timur,2022-09-05,3329,1080,1.7,95.0,73.5,23.0,0.0028630705394190833,141.9765625
Sulawesi Selatan,2022-09-05,555,111,0.1,71.0,84.9,29.4,0.0027800829875518768,532.796875
Kalimantan Tengah,2022-09-04,12767,7111,5.8,89.0,80.2,26.8,0.004896265560165974,72.46484375
Kalimantan Tengah,2022-09-04,6921,1817,5.8,89.0,80.2,26.8,0.004896265560165974,72.46484375
Kalimantan Tengah,2022-09-04,1935,387,5.8,89.0,80.2,26.8,0.004896265560165974,72.46484375
Kalimantan Selatan,2022-09-03,889,213,2.2,84.0,81.8,27.7,0.00410788381742739,567.015625
Kalimantan Tengah,2022-09-03,7739,2176,1.8,85.0,82.6,28.1,0.00410788381742739,72.46484375
